Year,M,D,H,M,S,alpha,dec
[1900],[7],[27],[0],[0],[0.00],[16.5595783753],[-21.927736719]
[1900],[7],[28],[0],[0],[0.00],[16.5588605167],[-21.927790433]
[1900],[7],[29],[0],[0],[0.00],[16.5575470288],[-21.932808018]
[1900],[7],[30],[0],[0],[0.00],[16.5558954412],[-21.929111918]
[1900],[7],[31],[0],[0],[0.00],[16.5549003204],[-21.919641949]
[1900],[8],[1],[0],[0],[0.00],[16.5544253296],[-21.918524345]
[1900],[8],[2],[0],[0],[0.00],[16.5534513588],[-21.924239039]
[1900],[8],[3],[0],[0],[0.00],[16.5520169914],[-21.922628412]
[1900],[8],[4],[0],[0],[0.00],[16.5511308072],[-21.913576479]
[1900],[8],[5],[0],[0],[0.00],[16.5508793798],[-21.911275416]
[1900],[8],[6],[0],[0],[0.00],[16.5502513137],[-21.917345544]
[1900],[8],[7],[0],[0],[0.00],[16.5490650943],[-21.917822144]
[1900],[8],[8],[0],[0],[0.00],[16.5482961145],[-21.909559829]
[1900],[8],[9],[0],[0],[0.00],[16.5482474804],[-21.906138973]
[1900],[8],[10],[0],[0],[0.00],[16.5479645890],[-21.912226055]
[1900],[8],[11],[0],[0],[0.00],[16.5470548606],[-21.914712918]
[1900],[8],[12],[0],[0],[0.00],[16.5464154104],[-21.907591098]
[1900],[8],[13],[0],[0],[0.00],[16.5465489694],[-21.903192008]
[1900],[8],[14],[0],[0],[0.00],[16.5466040095],[-21.908976841]
[1900],[8],[15],[0],[0],[0.00],[16.5459962975],[-21.913325990]
[1900],[8],[16],[0],[0],[0.00],[16.5455031273],[-21.907660470]
[1900],[8],[17],[0],[0],[0.00],[16.5458012716],[-21.902490352]
[1900],[8],[18],[0],[0],[0.00],[16.5461825348],[-21.907693731]
[1900],[8],[19],[0],[0],[0.00],[16.5458995635],[-21.913685147]
[1900],[8],[20],[0],[0],[0.00],[16.5455742878],[-21.909738955]
[1900],[8],[21],[0],[0],[0.00],[16.5460231019],[-21.904063390]
[1900],[8],[22],[0],[0],[0.00],[16.5467145645],[-21.908450018]
[1900],[8],[23],[0],[0],[0.00],[16.5467746452],[-21.915813934]
[1900],[8],[24],[0],[0],[0.00],[16.5466408031],[-21.913786698]
[1900],[8],[25],[0],[0],[0.00],[16.5472299497],[-21.907914344]
[1900],[8],[26],[0],[0],[0.00],[16.5482106300],[-21.911316137]
[1900],[8],[27],[0],[0],[0.00],[16.5486253398],[-21.919734323]
[1900],[8],[28],[0],[0],[0.00],[16.5487071485],[-21.919755945]
[1900],[8],[29],[0],[0],[0.00],[16.5494290450],[-21.914025495]
[1900],[8],[30],[0],[0],[0.00],[16.5506742150],[-21.916339211]
[1900],[8],[31],[0],[0],[0.00],[16.5514481156],[-21.925470014]
[1900],[9],[1],[0],[0],[0.00],[16.5517691028],[-21.927588561]
[1900],[9],[2],[0],[0],[0.00],[16.5526203649],[-21.922346642]
[1900],[9],[3],[0],[0],[0.00],[16.5541026710],[-21.923545862]
[1900],[9],[4],[0],[0],[0.00],[16.5552333115],[-21.933027953]
[1900],[9],[5],[0],[0],[0.00],[16.5558155128],[-21.937216843]
[1900],[9],[6],[0],[0],[0.00],[16.5567963902],[-21.932803400]
[1900],[9],[7],[0],[0],[0.00],[16.5584874621],[-21.932936510]
[1900],[9],[8],[0],[0],[0.00],[16.5599655121],[-21.942417410]
[1900],[9],[9],[0],[0],[0.00],[16.5608285966],[-21.948570575]
[1900],[9],[10],[0],[0],[0.00],[16.5619437270],[-21.945303948]
[1900],[9],[11],[0],[0],[0.00],[16.5638161021],[-21.944491400]
[1900],[9],[12],[0],[0],[0.00],[16.5656268023],[-21.953639559]
[1900],[9],[13],[0],[0],[0.00],[16.5667883739],[-21.961580036]
[1900],[9],[14],[0],[0],[0.00],[16.5680477878],[-21.959742058]
[1900],[9],[15],[0],[0],[0.00],[16.5700774949],[-21.958172492]
[1900],[9],[16],[0],[0],[0.00],[16.5722021877],[-21.966693942]
[1900],[9],[17],[0],[0],[0.00],[16.5736773481],[-21.976183184]
[1900],[9],[18],[0],[0],[0.00],[16.5750949977],[-21.976003467]
[1900],[9],[19],[0],[0],[0.00],[16.5772617348],[-21.973919800]
[1900],[9],[20],[0],[0],[0.00],[16.5796768364],[-21.981573094]
[1900],[9],[21],[0],[0],[0.00],[16.5814756041],[-21.992316415]
[1900],[9],[22],[0],[0],[0.00],[16.5830675548],[-21.993965194]
[1900],[9],[23],[0],[0],[0.00],[16.5853537474],[-21.991651215]
[1900],[9],[24],[0],[0],[0.00],[16.5880314767],[-21.998252684]
[1900],[9],[25],[0],[0],[0.00],[16.5901575429],[-22.009919176]
