planet,file,planetil,dates
U,um0074,um0,1856-1857
U,um0075,um0,1852-1853
U,um0076,um0,1849-1849
U,um0077,um0,1851-1851
U,um0078,um0,1863-1864
U,um0079,um0,1849-1849
U,um0080,um0,1847-1847
U,um0081,um0,1848-1848
U,um0082,um0,1866-1868
U,um0083,um0,1837-1837
U,um0084,um0,1787-1832
U,um0085,um0,2007-2011
U,um0086,um0,2007-2011
U,um0087,um0,2008-2011
U,um0090,um0,2000-2012
U,um0101,um0,1999-2005
U,um0102,um0,2007-2008
U,um0103,um0,2007-2008
U,um0109,um0,2004-2004
U,um0110,um0,2004-2006
U,um0111,um0,2005-2005
U,um0112,um0,2005-2005
U,um0113,um0,2006-2006
U,um0114,um0,1992-1997
U,um0115,um0,2007-2007
U,um0116,um0,2007-2007
U,um0117,um0,2007-2007
U,um0118,um0,1990-1990
U,um0119,um0,2007-2008
U,um0120,um0,2007-2008
U,um0121,um0,1995-2007
U,um0122,um0,2013-2015
U,um0123,um0,2001-2009
U,um0124,um0,1982-1991
U,um0125,um0,1992-2011
U,um0126,um0,1883
U,um0127,um0,2008-2011
U,um0128,um0,2007-2016
U,um0130,um0,1963-1963
U,um0131,um0,2014-2016
U,um0132,um0,1979-1985
U,um0133,um0,1963-1990
U,um0134,um0,2015-2018
U,um0136,um0,2014-2016
U,um0137,um0,2014-2020
U,um0138,um0,1982-2011
