Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
2017-05-25,23.0334058008,-7.151312540,23.0334056695,-7.151310062,-0.0070350443473229315,0.008920799999501128
2017-05-26,23.0343080947,-7.149132048,23.0343081029,-7.149131695,0.0004393575244192274,0.0012707999996308672
2017-05-27,23.0349402847,-7.149552752,23.0349404241,-7.149554893,0.007469070465043915,-0.007707600001438664
2017-05-28,23.0353854099,-7.148276100,23.0353855359,-7.148278514,0.006751115502233954,-0.0086903999996224
2017-05-29,23.0358865329,-7.142976979,23.0358865145,-7.142977157,-0.0009858886988437655,-0.0006407999986635105
2017-05-30,23.0365942774,-7.135722920,23.0365941335,-7.135720675,-0.0077104142009217485,0.008082000000442235
2017-05-31,23.0374100917,-7.130832224,23.0374099716,-7.130829886,-0.00643523731196128,0.00841679999936673
2017-06-01,23.0380883891,-7.130388526,23.0380884177,-7.130388524,0.0015324559214814804,7.200000595730671e-06
2017-06-02,23.0384915789,-7.132073912,23.0384917267,-7.132076251,0.007919446084068542,-0.008420399999664596
2017-06-03,23.0387329981,-7.131573341,23.0387331117,-7.131575595,0.006086942414169974,-0.008114399999925581
2017-06-04,23.0390593802,-7.127054840,23.0390593416,-7.127054666,-0.0020682947873165622,0.0006263999974720491
2017-06-05,23.0395946325,-7.121076679,23.0395944814,-7.121074255,-0.008096461490075684,0.008726399999403611
2017-06-06,23.0402108785,-7.117934909,23.0402107718,-7.117932752,-0.005717394951936324,0.007765199999809624
2017-06-07,23.0406611052,-7.119200175,23.0406611538,-7.119200526,0.0026041669246215458,-0.0012636000022325788
2017-06-08,23.0408357057,-7.122083425,23.0408358594,-7.122085922,0.008235760622896453,-0.008989200001963127
2017-06-09,23.0408763996,-7.122329389,23.0408764988,-7.122331441,0.00531546534247824,-0.007387200000508187
2017-06-10,23.0410292741,-7.118635009,23.0410292157,-7.118634482,-0.003129291126292799,0.0018972000003003586
2017-06-11,23.0413892155,-7.114007584,23.0413890599,-7.114005023,-0.008337715841596247,0.009219600001841854
2017-06-12,23.0418010853,-7.112645134,23.0418009940,-7.112643197,-0.004892260430554062,0.006973200001425539
2017-06-13,23.0420207024,-7.115574440,23.0420207705,-7.115575140,0.0036490777966393397,-0.0025200000006719847
2017-06-14,23.0419684571,-7.119581546,23.0419686140,-7.119584160,0.008407273212778501,-0.009410399998444063
2017-06-15,23.0418121225,-7.120546379,23.0418122053,-7.120548193,0.0044367160814848755,-0.006530399999959968
2017-06-16,23.0417928720,-7.117721157,23.0417927946,-7.117720284,-0.004147390549639738,0.003142800001043611
2017-06-17,23.0419747898,-7.114511990,23.0419746324,-7.114509334,-0.008434158306716861,0.009561599998164638
2017-06-18,23.0421780381,-7.114944139,23.0421779641,-7.114942457,-0.003965229602441282,0.006055200002208494
2017-06-19,23.0421655218,-7.119478997,23.0421656083,-7.119480037,0.004634985840929572,-0.003743999999628045
2017-06-20,23.0418891713,-7.124531718,23.0418893285,-7.124534403,0.008423257471298996,-0.009666000000407848
2017-06-21,23.0415400678,-7.126190804,23.0415401325,-7.126192346,0.0034668115633246202,-0.005551199998876655
2017-06-22,23.0413503112,-7.124280190,23.0413502160,-7.124278984,-0.0051011101517830955,0.004341600001112056
2017-06-23,23.0413519698,-7.122546834,23.0413518134,-7.122544131,-0.008380427300619744,0.009730800002571982
2017-06-24,23.0413435665,-7.124770761,23.0413435113,-7.124769366,-0.002957783533992887,0.005021999999854643
2017-06-25,23.0410993230,-7.130836046,23.0410994265,-7.130837411,0.005545770593918843,-0.00491400000051101
2017-06-26,23.0406038099,-7.136847551,23.0406039648,-7.136850262,0.008299793133944787,-0.009759600001757462
2017-06-27,23.0400683414,-7.139172128,23.0400683868,-7.139173369,0.0024325932508306608,-0.004467599998747573
2017-06-28,23.0397119682,-7.138211456,23.0397118568,-7.138209936,-0.00596897472429442,0.005471999998718502
2017-06-29,23.0395340739,-7.137988792,23.0395339213,-7.137986087,-0.008176535096542738,0.00973799999997027
2017-06-30,23.0393149340,-7.141970572,23.0393148987,-7.141969490,-0.0018914101043212516,0.0038951999993486197
2017-07-01,23.0388440360,-7.149462424,23.0388441548,-7.149464092,0.00636532091069986,-0.006004799998038379
2017-07-02,23.0381389809,-7.156326245,23.0381391305,-7.156328934,0.008015468749297481,-0.00968040000159931
2017-07-03,23.0374276874,-7.159273373,23.0374277124,-7.159274289,0.0013394746984717295,-0.0032975999978646087
2017-07-04,23.0369121872,-7.159279826,23.0369120615,-7.159278015,-0.006734878979495824,0.006519599999066372
2017-07-05,23.0365588948,-7.160576031,23.0365587488,-7.160573372,-0.00782251024797654,0.009572399999058234
2017-07-06,23.0361334418,-7.166252312,23.0361334272,-7.166251566,-0.0007822413610643082,0.002685600001584021
2017-07-07,23.0354442391,-7.175045444,23.0354443712,-7.175047389,0.007077539843534783,-0.0070020000006110195
2017-07-08,23.0345417587,-7.182646454,23.0345419004,-7.182649074,0.007591753351366093,-0.009432000000231255
2017-07-09,23.0336666532,-7.186171208,23.0336666572,-7.186171781,0.0002143033210108873,-0.0020627999980149525
2017-07-10,23.0330003226,-7.187155844,23.0330001847,-7.187153772,-0.007388090316212455,0.007459200000070609
2017-07-11,23.0324765879,-7.189964223,23.0324764512,-7.189961656,-0.00732375418253581,0.009241199997234162
2017-07-12,23.0318504019,-7.197254075,23.0318504084,-7.197253679,0.00034823430174097964,0.0014255999996493074
2017-07-13,23.0309525260,-7.207212916,23.0309526692,-7.207215106,0.007671702556469839,-0.007884000000046854
