Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
1987-02-25,17.7366653475,-23.522403300,17.7366655242,-23.522402776,0.008748915367528962,0.001886400002604205
1987-02-26,17.7383917336,-23.525394556,17.7383919709,-23.525394602,0.011749125363560577,-0.0001656000009120362
1987-02-27,17.7400778529,-23.524120250,17.7400780469,-23.524121448,0.00960536185477628,-0.004312799998729133
1987-02-28,17.7419218372,-23.519744568,17.7419219711,-23.519745491,0.006629900541761233,-0.0033227999935547814
1987-03-01,17.7440131239,-23.514949111,17.7440133216,-23.514949139,0.009789238937286416,-0.00010079999555046015
1987-03-02,17.7462898929,-23.512596289,17.7462902102,-23.512596845,0.015711588456415147,-0.0020015999993461264
1987-03-03,17.7485698628,-23.514334666,17.7485701770,-23.514336669,0.01555788179910804,-0.007210799995505113
1987-03-04,17.7506384977,-23.519785114,17.7506386923,-23.519787080,0.009635386659142195,-0.007077599997273865
1987-03-05,17.7523547955,-23.526696263,17.7523549360,-23.526696535,0.0069563243835123805,-0.0009791999914909866
1987-03-06,17.7537236741,-23.532046245,17.7537238796,-23.532045664,0.010174139016079088,0.0020915999940029906
1987-03-07,17.7548951731,-23.533575206,17.7548954132,-23.533575631,0.01188701908863394,-0.0015300000114848444
1987-03-08,17.7560879764,-23.530939170,17.7560881504,-23.530940426,0.008614672059009293,-0.0045216000032155534
1987-03-09,17.7574782893,-23.525865674,17.7574784355,-23.525866214,0.007238584052024566,-0.0019440000073700503
1987-03-10,17.7591129321,-23.521266299,17.7591131844,-23.521266236,0.012492192655715209,0.0002268000059757469
1987-03-11,17.7608878501,-23.519798456,17.7608882064,-23.519799547,0.017641767104081326,-0.00392760000522685
1987-03-12,17.7625990448,-23.522570776,17.7625993457,-23.522573309,0.01489838873628912,-0.00911879999989651
1987-03-13,17.7640417427,-23.528582518,17.7640419075,-23.528584502,0.008159329744940724,-0.007142400002635441
1987-03-14,17.7651125808,-23.535186560,17.7651127153,-23.535186760,0.006658827434045324,-0.0007199999956242209
1987-03-15,17.7658637248,-23.539404791,17.7658639311,-23.539404611,0.010213175223156899,0.0006480000024566834
1987-03-16,17.7664773796,-23.539447446,17.7664775994,-23.539448555,0.010881508378836755,-0.003992399997798657
1987-03-17,17.7671724683,-23.535616761,17.7671726141,-23.535618573,0.007218244488518322,-0.00652320000256168
1987-03-18,17.7680946666,-23.530126041,17.7680947964,-23.530127109,0.006426387028129888,-0.0038447999983759473
1987-03-19,17.7692458817,-23.525985435,17.7692461115,-23.525986103,0.011377736446217224,-0.0024048000071275055
1987-03-20,17.7704841461,-23.525532312,17.7704844464,-23.525534044,0.014868346704157182,-0.0062352000043119915
1987-03-21,17.7715920094,-23.529283531,17.7715922375,-23.529286135,0.01129328398719118,-0.00937439999546541
1987-03-22,17.7723831299,-23.535647761,17.7723832506,-23.535649381,0.005975596049577026,-0.005831999996530612
1987-03-23,17.7727970092,-23.541688423,17.7727971351,-23.541688506,0.006232750394408111,-0.00029879999914328437
1987-03-24,17.7729315521,-23.544607283,17.7729317428,-23.544607440,0.009440501475025802,-0.0005651999956057807
1987-03-25,17.7729931835,-23.543174699,17.7729933602,-23.543175999,0.008747534382589656,-0.00467999999074209
