[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1921],[9],[8],[0],[0],[0.00],[9.2102310288],[16.233235821]
[1921],[9],[9],[0],[0],[0.00],[9.2123600886],[16.224006950]
[1921],[9],[10],[0],[0],[0.00],[9.2144723723],[16.214846881]
[1921],[9],[11],[0],[0],[0.00],[9.2165674028],[16.205757886]
[1921],[9],[12],[0],[0],[0.00],[9.2186447104],[16.196742212]
[1921],[9],[13],[0],[0],[0.00],[9.2207038320],[16.187802092]
[1921],[9],[14],[0],[0],[0.00],[9.2227443098],[16.178939746]
[1921],[9],[15],[0],[0],[0.00],[9.2247656912],[16.170157385]
[1921],[9],[16],[0],[0],[0.00],[9.2267675274],[16.161457216]
[1921],[9],[17],[0],[0],[0.00],[9.2287493734],[16.152841440]
[1921],[9],[18],[0],[0],[0.00],[9.2307107856],[16.144312260]
[1921],[9],[19],[0],[0],[0.00],[9.2326513216],[16.135871882]
[1921],[9],[20],[0],[0],[0.00],[9.2345705380],[16.127522523]
[1921],[9],[21],[0],[0],[0.00],[9.2364679895],[16.119266419]
[1921],[9],[22],[0],[0],[0.00],[9.2383432271],[16.111105821]
[1921],[9],[23],[0],[0],[0.00],[9.2401957973],[16.103043005]
[1921],[9],[24],[0],[0],[0.00],[9.2420252409],[16.095080265]
[1921],[9],[25],[0],[0],[0.00],[9.2438310920],[16.087219917]
[1921],[9],[26],[0],[0],[0.00],[9.2456128779],[16.079464298]
[1921],[9],[27],[0],[0],[0.00],[9.2473701195],[16.071815758]
[1921],[9],[28],[0],[0],[0.00],[9.2491023332],[16.064276652]
[1921],[9],[29],[0],[0],[0.00],[9.2508090335],[16.056849320]
[1921],[9],[30],[0],[0],[0.00],[9.2524897380],[16.049536065]
[1921],[10],[1],[0],[0],[0.00],[9.2541439724],[16.042339134]
[1921],[10],[2],[0],[0],[0.00],[9.2557712764],[16.035260698]
[1921],[10],[3],[0],[0],[0.00],[9.2573712081],[16.028302842]
[1921],[10],[4],[0],[0],[0.00],[9.2589433464],[16.021467560]
[1921],[10],[5],[0],[0],[0.00],[9.2604872906],[16.014756763]
[1921],[10],[6],[0],[0],[0.00],[9.2620026588],[16.008172288]
[1921],[10],[7],[0],[0],[0.00],[9.2634890854],[16.001715910]
[1921],[10],[8],[0],[0],[0.00],[9.2649462182],[15.995389357]
[1921],[10],[9],[0],[0],[0.00],[9.2663737166],[15.989194322]
[1921],[10],[10],[0],[0],[0.00],[9.2677712499],[15.983132459]
[1921],[10],[11],[0],[0],[0.00],[9.2691384965],[15.977205395]
[1921],[10],[12],[0],[0],[0.00],[9.2704751428],[15.971414721]
[1921],[10],[13],[0],[0],[0.00],[9.2717808825],[15.965762004]
[1921],[10],[14],[0],[0],[0.00],[9.2730554168],[15.960248785]
[1921],[10],[15],[0],[0],[0.00],[9.2742984526],[15.954876587]
[1921],[10],[16],[0],[0],[0.00],[9.2755097024],[15.949646915]
[1921],[10],[17],[0],[0],[0.00],[9.2766888819],[15.944561259]
[1921],[10],[18],[0],[0],[0.00],[9.2778357090],[15.939621102]
[1921],[10],[19],[0],[0],[0.00],[9.2789499015],[15.934827927]
[1921],[10],[20],[0],[0],[0.00],[9.2800311760],[15.930183217]
[1921],[10],[21],[0],[0],[0.00],[9.2810792461],[15.925688464]
[1921],[10],[22],[0],[0],[0.00],[9.2820938225],[15.921345161]
[1921],[10],[23],[0],[0],[0.00],[9.2830746130],[15.917154796]
[1921],[10],[24],[0],[0],[0.00],[9.2840213232],[15.913118845]
[1921],[10],[25],[0],[0],[0.00],[9.2849336587],[15.909238762]
[1921],[10],[26],[0],[0],[0.00],[9.2858113279],[15.905515965]
[1921],[10],[27],[0],[0],[0.00],[9.2866540451],[15.901951824]
[1921],[10],[28],[0],[0],[0.00],[9.2874615354],[15.898547637]
[1921],[10],[29],[0],[0],[0.00],[9.2882335388],[15.895304614]
[1921],[10],[30],[0],[0],[0.00],[9.2889698147],[15.892223862]
[1921],[10],[31],[0],[0],[0.00],[9.2896701446],[15.889306381]
[1921],[11],[1],[0],[0],[0.00],[9.2903343344],[15.886553061]
[1921],[11],[2],[0],[0],[0.00],[9.2909622138],[15.883964693]
[1921],[11],[3],[0],[0],[0.00],[9.2915536348],[15.881541974]
[1921],[11],[4],[0],[0],[0.00],[9.2921084697],[15.879285517]
[1921],[11],[5],[0],[0],[0.00],[9.2926266076],[15.877195866]
[1921],[11],[6],[0],[0],[0.00],[9.2931079532],[15.875273504]
[1921],[11],[7],[0],[0],[0.00],[9.2935524243],[15.873518861]
[1921],[11],[8],[0],[0],[0.00],[9.2939599510],[15.871932321]
[1921],[11],[9],[0],[0],[0.00],[9.2943304751],[15.870514215]
[1921],[11],[10],[0],[0],[0.00],[9.2946639492],[15.869264828]
[1921],[11],[11],[0],[0],[0.00],[9.2949603363],[15.868184396]
[1921],[11],[12],[0],[0],[0.00],[9.2952196092],[15.867273118]
[1921],[11],[13],[0],[0],[0.00],[9.2954417491],[15.866531153]
[1921],[11],[14],[0],[0],[0.00],[9.2956267441],[15.865958635]
[1921],[11],[15],[0],[0],[0.00],[9.2957745876],[15.865555670]
[1921],[11],[16],[0],[0],[0.00],[9.2958852754],[15.865322345]
[1921],[11],[17],[0],[0],[0.00],[9.2959588042],[15.865258734]
[1921],[11],[18],[0],[0],[0.00],[9.2959951700],[15.865364900]
[1921],[11],[19],[0],[0],[0.00],[9.2959943681],[15.865640895]
[1921],[11],[20],[0],[0],[0.00],[9.2959563941],[15.866086743]
[1921],[11],[21],[0],[0],[0.00],[9.2958812464],[15.866702431]
[1921],[11],[22],[0],[0],[0.00],[9.2957689300],[15.867487888]
[1921],[11],[23],[0],[0],[0.00],[9.2956194597],[15.868442969]
[1921],[11],[24],[0],[0],[0.00],[9.2954328648],[15.869567445]
[1921],[11],[25],[0],[0],[0.00],[9.2952091925],[15.870860985]
[1921],[11],[26],[0],[0],[0.00],[9.2949485117],[15.872323150]
[1921],[11],[27],[0],[0],[0.00],[9.2946509149],[15.873953382]
[1921],[11],[28],[0],[0],[0.00],[9.2943165204],[15.875751001]
[1921],[11],[29],[0],[0],[0.00],[9.2939454726],[15.877715209]
[1921],[11],[30],[0],[0],[0.00],[9.2935379413],[15.879845099]
[1921],[12],[1],[0],[0],[0.00],[9.2930941205],[15.882139667]
[1921],[12],[2],[0],[0],[0.00],[9.2926142255],[15.884597821]
[1921],[12],[3],[0],[0],[0.00],[9.2920984914],[15.887218390]
[1921],[12],[4],[0],[0],[0.00],[9.2915471700],[15.890000128]
[1921],[12],[5],[0],[0],[0.00],[9.2909605284],[15.892941732]
