planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
,abin0132,2015 - 2016,11,11,0,position,"309 - Cerro Paranal (European Southern Observatory, Chile),"
,abin0133,2017-2017,1,1,0,position,"304 -  Las Campanas Observatory, Chile."
,abin0134,2010-2010,15,15,0,position,568 -  Mauna Kea
,abin0135,2017,1,1,0,position,several positions
,abin0136,2017,4,4,0,position,250 - Hubble Space Telescope
,abin0137,2015,2,2,0,position,250 - Hubble Space Telescope
,abin0138,2017-2018,28,28,0,position,115 - Caucasian Mountain Observatory of; Sternberg State Astronomical Institute of; Lomonosov Moscow State University
,abin0139,2006-2015,6,6,0,position,250 - HST
,abin0140,2005-2015,12,12,0,position,250 - HST; 309 - Cerro Paranal; 568 - Mauna Kea
,abin0141,2006-2014,7,7,0,position,250 - HST; 568 - Mauna Kea
,abin0142,2006-2016,14,14,0,position,250 - HST; 568 - Mauna Kea
,abin0143,2007-2017,7,7,0,position,250 - HST; 568 - Mauna Kea
,abin0144,2007-2015,5,5,0,position,250 - HST; 568 - Mauna Kea
,abin0145,2006-2017,11,11,0,position,250 - HST; 568 - Mauna Kea
,abin0146,2009-2013,10,10,0,position,250 - HST; 568 - Mauna Kea
,abin0147,2003-2015,7,7,0,position,250 - HST
,abin0148,2008-2013,6,6,0,position,250 - HST; 568 - Mauna Kea
,abin0149,2001-2013,16,16,0,position,250 - HST; 568 - Mauna Kea
,abin0150,2002-2015,10,10,0,position,250 - HST; 568 - Mauna Kea
,abin0151,2006-2017,6,6,0,position,250 - HST; 568 - Mauna Kea
,abin0152,2006-2017,10,10,0,position,250 - HST; 568 - Mauna Kea
,abin0153,2006-2009,8,8,0,position,250 - HST; 568 - Mauna Kea
,abin0154,2008-2017,5,5,0,position,250 - HST; 568 - Mauna Kea
,abin0155,2006-2014,6,6,0,position,250 - HST
,abin0156,2008-2018,8,8,0,position,250 - HST; 568 - Mauna Kea
,abin0157,2018,1,1,0,position,250 - Hubble Space Telescope
,abin0158,2019,2,2,0,position,309 - Cerro Paranal
,abin0159,2019,5,5,0,position,309 - Cerro Paranal
,abin0160,2008-2018,30,30,0,position,309 - Cerro Paranal; 568 - Mauna Kea
,abin0161,2001-2005,14,14,0,position,568 - Mauna Kea
,abin0162,2021,2,2,0,position,"E28 - Kuriwa Observatory, Hawkesbury Heights; Q69 - Hazelbrook; San Ardo (California, USA); Bradley (California, USA)"
,abin0163,2018-2021,9,9,0,position,250 - Hubble Space Telescope
,abin0164,2009-2017,43,43,0,position,568 - Mauna Kea; 309 - Cerro Paranal; Starfire Optical Range (SOR)
,abin0165,2016-2017,17,17,0,position,Starfire Optical Range (SOR)
,abin0166,"1980, 2017-2019",19,19,0,position,309 - Cerro Paranal
,abin0167,2007-2018,12,12,0,position,250 - Hubble Space Telescope
,abin0168,2018,1,1,0,position,several positions
,abin0169,2014-2014,390,390,0,position,"309 - Cerro Paranal ESO, Chile"
,abin0170,2001 - 2022,113,113,0,position,"020 - Nice (Calern, Observatoire de la Cote d’Azur); 309 - Cerro Paranal; 568 - MaunaKea"
,abin0171,2003-2014,40,40,0,position,309 - Cerro Paranal; 568 - MaunaKea
,abinSummary,,0,0,,,no informations
,outtabAll,,0,0,,,no informations
J,jg0001,1891-1978,1606,5281,3675,relative,no informations
J,jg0002,1998-1998,8,8,0,relative,084 - Pulkovo
J,jg0003,1998-1998,11,11,0,absolute,808 - El Leoncito
J,jg0004,1983-1985,144,144,0,absolute,089 - Nikolaev
J,jg0005,1998-1998,218,218,0,absolute,689 - Flagstaff
J,jg0006,1999-1999,224,224,0,absolute,689 - Flagstaff
J,jg0007,1891-1891,420,420,0,relative,051 - Cape
J,jg0008,1901-1902,738,738,0,relative,051 - Cape
J,jg0009,1902-1906,808,808,0,relative,"786 - U.S. Naval Obs., Washington"
J,jg0010,1995-1995,535,364,-171,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
J,jg0011,1962-1998,1314,1314,0,absolute,089 - Nikolaev
J,jg0012,1983-1983,8,8,0,absolute,"809 - European Southern Observatory, La Silla"
J,jg0013,1891-1978,1138,3916,2778,relative,79 - Bordeaux-Floirac; 99 - Bucarest; 126 - Cape of Good Hope; 234 - Greenwich; 251 - Helsingfors; 267 - Johannesburg; 299 - La Silla; 311 - Leiden; 369 - Mc Cormick Obs.; 410 - Nicolaiev; 447 - Paris; 480 - Pulkovo; 490 - Rio de Janeiro; 615 - U.S. Naval Obs.; 618 - Uccle; 675 - Yerkes Obs.; 679 - Zo-Se
J,jg0014,1990-1992,209,209,0,relative,"ESO: European Southern Obs. Chile; BMD: Bowie Maryland USA; GEA: Grup d'Estuds Astron. No. Spain; RCI: Reggio Calabria Italy; ORM: Oak Ridge Obs. Mass. USA; CAT: Catania Astrophys. Obs. Sicily; TOK: Tokyo Obs. Japan; NIC: Nice Obs. France; TER: Collurania Obs. Teramo Italy; CAF: Calern, Cote d'Azur France; KAV: Vainu Bappu Obs. Kavalur India; PRI: Providence Rhode Island USA; HAN: Harastua Norway; OHP: Obs. Haute-Provence France; PAR: Paris Obs. France; BSP: Barcelona Spain; KAK: Kakuda Japan; ZNL: Zoetermeer Netherlands; SFC: San Francisco Cal. USA; DAC: Devon Ast. Obs. Alberta Canada; BNZ: Adams Obs. Blenheim N. Zealand; LOW: Lowell Obs. Flagstaff Ariz. USA; VIA: Victoria NSW Australia; PIC: Pic du Midi France; RIO: Rio de Janeiro Brazil; BOR: Bordeaux Univ. Obs. France; MEU: Meudon Obs. France; CNR: Cluj-Napoca Obs. Romania; SSA: Siding Spring Obs. Australia; MKH: Mauna Kea, Hawaii; TOC: Toronto Ontario Canada; BRB: Brasopolis Brazil; DNC: Durham North Carolina USA; BER: Berlin Germany; HEG: Heuweiler Germany; ESS: Essen Germany; HNY: Holtsville New York USA; TMR: Timisoara Romania; TPK: Topeka Kansas USA; BEL: Belgrade Obs. Serbia"
J,jg0016,1976-1981,419,419,0,relative,084 - Pulkovo
J,jg0017,1994-1997,66,66,0,relative,250 - Hubble Space Telescope
J,jg0018,1973-1977,10,10,0,absolute,"786 - U.S. Naval Obs., Washington"
J,jg0019,2001-2005,727,727,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jg0020,1997-1997,26,26,0,relative (heliocentric),210 - Alma-Ata; 168 - Kourovskaya; 083 - Golosseevo-Kiev; 084 - Pulkovo; 095 - Crimea-Nauchnij; K01 - Dushak-Erekdag (see comments); K02 - Voronezh  (see comments)
J,jg0021,1997-1997,16,26,10,relative,210 - Alma-Ata; 168 - Kourovskaya; 083 - Golosseevo-Kiev; 084 - Pulkovo; 095 - Crimea-Nauchnij; K01 - Dushak-Erekdag (see comments); K02 - Voronezh  (see comments)
J,jg0022,2005-2006,229,229,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jg0023,2006-2007,85,85,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jg0024,1986-1997,658,658,0,absolute,950 - La Palma
J,jg0025,1996-1997,270,270,0,relative,see observatories list in the comments
J,jg0026,1997-1997,31,31,0,relative,see observatories list in the relevant article.
J,jg0027,2002-2003,340,340,0,relative,see observatories list with the coordinates; in the relevant article.
J,jg0028,2003-2003,31,31,0,relative,see observatories list with the coordinates; in the relevant article.
J,jg0029,1997-1997,200,200,0,relative,see observatories list in the reference
J,jg0030,1986-2005,316,316,0,relative,084 - Pulkovo
J,jg0031,1986-2005,256,256,0,relative,084 - Pulkovo
J,jg0032,1974-1979,448,448,0,absolute,084 - Pulkovo
J,jg0033,1984-1986,196,196,0,relative,84 - Pulkovo; 129 - Ordubad
